model,map50_95,flops_b,speed_ms,series,highlight
YOLOv6n,0.375,11.4,1.28,YOLOv6,false
YOLOv6s,0.450,45.3,2.95,YOLOv6,false
YOLOv6m,0.500,85.8,5.71,YOLOv6,false
YOLOv6l,0.528,150.7,10.20,YOLOv6,false
YOLOv7-tiny,0.387,13.8,3.50,YOLOv7,false
YOLOv7,0.514,103.2,6.21,YOLOv7,false
YOLOv7-x,0.531,189.9,8.77,YOLOv7,false
YOLOv8n,0.373,8.7,0.99,YOLOv8,false
YOLOv8s,0.449,28.6,1.20,YOLOv8,false
YOLOv8m,0.502,78.9,1.83,YOLOv8,false
YOLOv8l,0.529,165.2,2.39,YOLOv8,false
YOLOv8x,0.539,257.8,3.53,YOLOv8,false
YOLOv9t,0.383,7.7,,YOLOv9,false
YOLOv9s,0.468,26.4,,YOLOv9,false
YOLOv9m,0.514,76.3,,YOLOv9,false
YOLOv9c,0.530,102.1,,YOLOv9,false
YOLOv9e,0.556,189.0,,YOLOv9,false
YOLOv10n,0.385,6.7,1.84,YOLOv10,false
YOLOv10s,0.463,21.6,2.49,YOLOv10,false
YOLOv10m,0.511,59.1,4.74,YOLOv10,false
YOLOv10b,0.525,92.0,5.74,YOLOv10,false
YOLOv10l,0.532,120.3,7.28,YOLOv10,false
YOLOv10x,0.544,160.4,10.70,YOLOv10,false
YOLO11n,0.395,6.5,1.50,YOLO11,false
YOLO11s,0.470,21.5,2.50,YOLO11,false
YOLO11m,0.515,68.0,4.70,YOLO11,false
YOLO11l,0.534,86.9,6.20,YOLO11,false
YOLO11x,0.547,194.9,11.30,YOLO11,false
YOLO12n,0.404,6.0,1.60,YOLO12,false
YOLO12s,0.476,19.4,2.42,YOLO12,false
YOLO12m,0.525,59.8,4.27,YOLO12,false
YOLO12l,0.538,82.4,5.83,YOLO12,false
YOLO12x,0.554,184.6,10.38,YOLO12,false
YOLO26n,0.408174,6.1,7.5984,YOLO26,false
YOLO26s,0.485941,22.8,7.3555,YOLO26,false
YOLO26m,0.530608,75.4,7.4930,YOLO26,false
YOLO26l,0.550461,93.8,15.5977,YOLO26,false
YOLO26x,0.574299,209.5,10.6256,YOLO26,false
SCN-n,0.412772,6.5,10.9676,Ours,true
SCN-s,0.487509,23.4,7.3555,Ours,false
SCN-m,0.535697,75.9,7.4930,Ours,false
SCN-l,0.552198,94.8,15.5977,Ours,false
SCN-x,0.581347,210.8,10.6256,Ours,false

