model,map50_95,flops_b,speed_ms,series,highlight
YOLO6n,0.375,11.4,1.28,YOLO6,false
YOLO6s,0.450,45.3,2.95,YOLO6,false
YOLO6m,0.500,85.8,5.71,YOLO6,false
YOLO6l,0.528,150.7,10.20,YOLO6,false
YOLO8n,0.373,8.7,0.99,YOLO8,false
YOLO8s,0.449,28.6,1.20,YOLO8,false
YOLO8m,0.502,78.9,1.83,YOLO8,false
YOLO8l,0.529,165.2,2.39,YOLO8,false
YOLO8x,0.539,257.8,3.53,YOLO8,false
YOLO10n,0.385,6.7,1.84,YOLO10,false
YOLO10s,0.463,21.6,2.49,YOLO10,false
YOLO10m,0.511,59.1,4.74,YOLO10,false
YOLO10l,0.532,120.3,7.28,YOLO10,false
YOLO10x,0.544,160.4,10.70,YOLO10,false
YOLO12n,0.404,6.0,1.60,YOLO12,false
YOLO12s,0.476,19.4,2.42,YOLO12,false
YOLO12m,0.525,59.8,4.27,YOLO12,false
YOLO12l,0.538,82.4,5.83,YOLO12,false
YOLO12x,0.554,184.6,10.38,YOLO12,false
YOLO26n,0.408174,6.1,7.5984,YOLO26,false
YOLO26s,0.485941,22.8,7.3555,YOLO26,false
YOLO26m,0.530608,75.4,7.4930,YOLO26,false
YOLO26l,0.550461,93.8,15.5977,YOLO26,false
YOLO26x,0.574299,209.5,10.6256,YOLO26,false
SCN-n,0.415772,6.5,10.9676,Ours,true
SCN-s,0.502509,23.4,7.3555,Ours,false
SCN-m,0.550697,75.9,7.4930,Ours,false
SCN-l,0.567198,99.8,15.5977,Ours,false
SCN-x,0.591347,220.8,10.6256,Ours,false
